03:17:17.983 [main] INFO  n.e.journalApp.JournalApplication - Starting JournalApplication using Java 21.0.10 with PID 20496 (C:\Users\asus\Desktop\SpringBoot\journalApp\target\classes started by asus in C:\Users\asus\Desktop\SpringBoot\journalApp)
03:17:17.993 [main] INFO  n.e.journalApp.JournalApplication - No active profile set, falling back to 1 default profile: "default"
03:17:18.917 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
03:17:18.996 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71 ms. Found 3 MongoDB repository interfaces.
03:17:19.602 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
03:17:19.617 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
03:17:19.621 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
03:17:19.622 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.15]
03:17:19.687 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1610 ms
03:17:20.166 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync", "version": "5.6.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Microsoft/21.0.10+7-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='alirizwan05681_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1c62c3fd, com.mongodb.Jep395RecordCodecProvider@734ce281, com.mongodb.KotlinCodecProvider@49b89425, EnumCodecProvider{}]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.68aofs7.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-10euxf-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
03:17:20.622 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation find with ID 2. Remaining time: 29990 ms. Selector: ReadPreferenceServerSelector{readPreference=primary}, topology description: {type=UNKNOWN, servers=[].
03:17:21.003 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-srv-cluster0.68aofs7.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017 to client view of cluster
03:17:21.034 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-srv-cluster0.68aofs7.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017 to client view of cluster
03:17:21.034 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-srv-cluster0.68aofs7.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017 to client view of cluster
03:17:21.806 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=354183900, minRoundTripTimeNanos=0, setName='atlas-10euxf-shard-0', canonicalAddress=ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017, hosts=[ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017], passives=[], arbiters=[], primary='ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000110, setVersion=260, topologyVersion=TopologyVersion{processId=699f2f421ae5a3dc40776827, counter=6}, lastWriteDate=Fri Feb 27 03:17:17 IST 2026, lastUpdateTimeNanos=4121608565599}
03:17:21.807 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=356407501, minRoundTripTimeNanos=0, setName='atlas-10euxf-shard-0', canonicalAddress=ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017, hosts=[ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017], passives=[], arbiters=[], primary='ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=260, topologyVersion=TopologyVersion{processId=699f2cb8e6b5ef2a10c77660, counter=4}, lastWriteDate=Fri Feb 27 03:17:17 IST 2026, lastUpdateTimeNanos=4121608433499}
03:17:21.807 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=354494700, minRoundTripTimeNanos=0, setName='atlas-10euxf-shard-0', canonicalAddress=ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017, hosts=[ac-htjtw0n-shard-00-00.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017, ac-htjtw0n-shard-00-02.68aofs7.mongodb.net:27017], passives=[], arbiters=[], primary='ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=260, topologyVersion=TopologyVersion{processId=699f321dde9b5221faff90f1, counter=3}, lastWriteDate=Fri Feb 27 03:17:17 IST 2026, lastUpdateTimeNanos=4121608433499}
03:17:21.811 [cluster-ClusterId{value='69a0bf68633046533dab6841', description='null'}-ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-htjtw0n-shard-00-01.68aofs7.mongodb.net:27017 with max election id 7fffffff0000000000000110 and max set version 260
03:17:23.385 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
03:17:24.117 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
03:17:24.132 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/journal'
03:17:24.143 [main] INFO  n.e.journalApp.JournalApplication - Started JournalApplication in 7.255 seconds (process running for 9.821)
